time_utc,az_required_deg,alt_required_deg,az_actual_deg,alt_actual_deg,distance_m,elev_gain_m,camera_x,camera_y,camera_elev_m,camera_lat,camera_lon,model_x,model_y,model_elev_m,model_lat,model_lon,moon_phase_deg,sun_alt_deg,camera_public,model_public
2026-06-01T10:34:42.967120+00:00,203.62678979637397,19.737832555408872,203.62678979637397,19.73784637451172,500.0,179.1986083984375,616545.0,4134885.0,649.30615234375,37.3533598173924,-121.68406953779424,616344.61127368,4134426.912280929,828.5047607421875,37.34925689799536,-121.68640355946714,191.75042285087812,-20.87504749617797,False,True
2026-06-29T10:11:11.691206+00:00,213.65376066320667,15.302656189387221,213.65376066320667,15.302860260009766,500.0,136.611328125,612585.0,4132815.0,596.8896484375,37.33519455956083,-121.72908684842002,612307.9135819962,4132398.7991867405,733.5009765625,37.33147743464737,-121.73227707069829,173.72426080061683,-23.09982370456167,True,False
2026-06-01T05:14:42.967120+00:00,135.1128273454756,7.64677452608706,135.1128273454756,7.647146701812744,500.0,66.93304443359375,613845.0,4134495.0,507.7401123046875,37.35018047295107,-121.71460856036569,614197.8564851416,4134140.7510749577,574.6731567382812,37.34694476650965,-121.71068007825228,189.3257983397313,-18.407044751743623,True,True
2026-07-01T05:06:11.691206+00:00,126.9501128589567,4.680370175829424,126.9501128589567,4.680894374847412,500.0,40.7396240234375,614235.0,4132515.0,449.57598876953125,37.33228954057745,-121.71051136011158,614634.5796022526,4132214.4402863593,490.31561279296875,37.32953177038125,-121.70604840187328,193.36030037677412,-15.601909853670412,True,True
2026-06-01T10:44:42.967120+00:00,205.7312020001655,18.930120015475712,205.7312020001655,18.930721282958984,500.0,171.287841796875,616515.0,4134915.0,655.2528076171875,37.353633930065364,-121.68440347277794,616297.9251366733,4134464.5796366595,826.5406494140625,37.34960218978233,-121.68692463326443,191.82618230519546,-19.645236788966553,False,True
2026-05-31T10:44:42.967120+00:00,216.3715498619308,14.715761837768898,216.3715498619308,14.715086936950684,500.0,131.11328125,612555.0,4132875.0,591.8556518554688,37.335738898368724,-121.72941631788834,612258.4904277052,4132472.4058202887,722.9689331054688,37.332146732291676,-121.73282368775425,180.9074033805735,-19.741711695796546,True,False
2026-05-31T11:34:42.967120+00:00,225.28408417862548,8.369054814839055,225.28408417862548,8.36987018585205,500.0,73.36492919921875,612165.0,4134165.0,605.0842895507812,37.347411187883786,-121.73362265305173,611809.6979724906,4133813.2039379873,678.44921875,37.34428377520706,-121.73768631177417,181.28697289633047,-12.805742950928051,True,True
2026-05-30T10:59:42.967120+00:00,229.19357904727926,7.995493954649626,229.19357904727926,7.994385719299316,500.0,70.02044677734375,612945.0,4134195.0,519.4580688476562,37.34758694564568,-121.72481362649442,612566.5390879178,4133868.247283063,589.478515625,37.344688334125706,-121.72913524945014,170.06868531312816,-17.887502840026965,True,True
2026-06-29T11:01:11.691206+00:00,222.77787135035206,9.361166185660089,222.77787135035206,9.359994888305664,500.0,82.2158203125,617085.0,4133355.0,708.1473999023438,37.33950424890557,-121.67821553063787,616745.4210629681,4132988.003888952,790.3632202148438,37.3362398190802,-121.68210593902019,174.1040101770973,-17.326068909736527,False,True
2026-06-29T11:11:11.691206+00:00,224.4799523663145,8.037682181764756,224.4799523663145,8.036088943481445,500.0,70.3916015625,612375.0,4133355.0,611.812744140625,37.34008631635595,-121.73137504073087,612024.6701714732,4132998.2521741563,682.204345703125,37.336913747766154,-121.73538301774025,174.1799651465025,-16.00281402118518,True,True
2026-06-29T04:31:11.691206+00:00,140.2103613213001,11.348888815098041,140.2103613213001,11.347036361694336,500.0,100.13677978515625,616935.0,4133505.0,659.4970092773438,37.34087488101943,-121.67988482160948,617254.9853766316,4133120.800366031,759.6337890625,37.33737230505198,-121.67633406018408,171.14301423800373,-10.50571016802072,True,False
2026-07-28T09:40:13.942486+00:00,213.72978594577063,18.697373904624982,213.72978594577063,18.695499420166016,500.0,168.99688720703125,616695.0,4134735.0,690.4903564453125,37.351989240396,-121.68239989928958,616417.3615727635,4134319.1672166344,859.4872436523438,37.34827682820434,-121.6855992942377,166.54146143024585,-30.127596366338345,False,True
2026-06-29T04:31:11.691206+00:00,140.2103613213001,11.348888815098041,140.2103613213001,11.346808433532715,500.0,100.13470458984375,617025.0,4132935.0,675.1897583007812,37.33572697865757,-121.67895901207241,617344.9853766316,4132550.800366031,775.324462890625,37.3322243774306,-121.67540852964979,171.14301423800373,-10.50571016802072,True,False
2026-07-01T05:16:11.691206+00:00,128.53389418879885,6.217090304386845,128.53389418879885,6.214671611785889,500.0,54.246917724609375,614085.0,4133835.0,499.4363708496094,37.34420333326288,-121.71200103055537,614476.1198809734,4133523.5112542845,553.6832885742188,37.341348165467856,-121.70763449485692,193.436968741887,-16.945560185556527,True,True
2026-07-30T04:20:13.942486+00:00,119.55758294366882,6.389269099532667,119.55758294366882,6.391727924346924,500.0,55.810882568359375,614265.0,4132635.0,453.7846984863281,37.333367245501414,-121.71015430567375,614699.9301824525,4132388.3509854227,509.5955810546875,37.33109091857577,-121.70528402338384,186.4654741745226,-11.772133238692732,True,True
2026-07-30T04:50:13.942486+00:00,124.4302598002212,11.370542643563173,124.4302598002212,11.373074531555176,500.0,100.3731689453125,615495.0,4135155.0,689.9009399414062,37.35592421858265,-121.69588035689796,615907.4075027099,4134872.2986528003,790.2741088867188,37.35332521963519,-121.69126897521419,186.70168033901726,-16.522372465189203,True,True
2026-05-31T04:19:42.967120+00:00,133.5393343521851,8.087388381117409,133.5393343521851,8.08459758758545,500.0,70.82339477539062,613785.0,4134495.0,501.3947448730469,37.35018783144937,-121.71528584759481,614147.4508175462,4134150.5738034644,572.2181396484375,37.34703948568451,-121.7112475250221,177.9832580154862,-10.612483778548711,True,True
2026-06-29T11:11:11.691206+00:00,224.4799523663145,8.037682181764756,224.4799523663145,8.041126251220703,500.0,70.43643188476562,613005.0,4135215.0,474.8298645019531,37.3567715268249,-121.72398076415422,612654.6701714732,4134858.2521741563,545.2662963867188,37.35359923977961,-121.7279899527463,174.1799651465025,-16.00281402118518,True,True
2026-05-30T10:39:42.967120+00:00,225.81076025650182,10.867703578045921,225.81076025650182,10.864194869995117,500.0,95.76080322265625,612315.0,4134735.0,517.6176147460938,37.352529706972106,-121.73184307526459,611956.4792380295,4134386.484773308,613.37841796875,37.3494323187318,-121.73594292576969,169.9162217636424,-20.46933622642747,True,True
2026-07-29T11:35:13.942486+00:00,228.6807331916188,13.242225211297662,228.6807331916188,13.246176719665527,500.0,117.4991455078125,612675.0,4132875.0,584.6673583984375,37.3357243440747,-121.72806199570506,612299.4789236144,4132544.872871169,702.16650390625,37.332794828544635,-121.73235013735074,178.5911846125822,-16.56747550483923,True,False
2026-05-31T11:34:42.967120+00:00,225.28408417862548,8.369054814839055,225.28408417862548,8.36500358581543,500.0,73.321533203125,616995.0,4134075.0,726.6566772460938,37.346003879024195,-121.67911764634434,616639.6979724906,4133723.2039379873,799.9782104492188,37.34287838002112,-121.68318343267318,181.28697289633047,-12.805742950928051,False,True
2026-05-31T11:14:42.967120+00:00,221.84609039345602,11.040403614117256,221.84609039345602,11.036337852478027,500.0,97.31927490234375,612465.0,4134555.0,523.3994750976562,37.350889438198294,-121.73017712039872,612131.434031436,4134182.530209794,620.71875,37.347573220670704,-121.73399888574457,181.1351500146176,-15.722772796005215,True,True
2026-07-01T05:16:11.691206+00:00,128.53389418879885,6.217090304386845,128.53389418879885,6.212538242340088,500.0,54.22808837890625,611925.0,4132305.0,652.976318359375,37.330678371301204,-121.73661256465896,612316.1198809734,4131993.5112542845,707.2044067382812,37.32782410298585,-121.73224583888609,193.436968741887,-16.945560185556527,False,False
2026-05-31T04:39:42.967120+00:00,136.98534426154418,10.777855619113472,136.98534426154418,10.783036231994629,500.0,95.02667236328125,615555.0,4134945.0,680.6989135742188,37.35402432357061,-121.69523578502641,615896.0927056819,4134579.410385636,775.7255859375,37.350687259789694,-121.69144252320811,178.13522902383292,-13.649752809499642,True,True
2026-07-30T04:10:13.942486+00:00,118.00635112295238,4.676588487923766,118.00635112295238,4.671383380889893,500.0,40.65606689453125,612405.0,4131555.0,597.6554565429688,37.32386161111013,-121.73130929139944,612846.4477737237,4131320.2152835587,638.3115234375,37.32169227707059,-121.72636360221412,186.38675415280412,-10.116587728152949,False,False
2026-05-31T11:44:42.967120+00:00,226.94265282938554,6.973871771909259,226.94265282938554,6.968039512634277,500.0,60.9091796875,617595.0,4135035.0,683.4327392578125,37.35457906634327,-121.67219288314719,617229.6646373372,4134693.634985993,744.3419189453125,37.351549091018434,-121.67637102980235,181.36288189718195,-11.284124114628737,False,False
2026-05-31T04:19:42.967120+00:00,133.5393343521851,8.087388381117409,133.5393343521851,8.093265533447266,500.0,70.90057373046875,615345.0,4133295.0,593.7658081054688,37.339181366722364,-121.69786323374778,615707.4508175462,4132950.5738034644,664.6663818359375,37.3360324453192,-121.69382623229723,177.9832580154862,-10.612483778548711,True,True
2026-06-01T04:54:42.967120+00:00,131.84609206627528,4.863121345921607,131.84609206627528,4.869030475616455,500.0,42.39288330078125,616665.0,4132305.0,736.9849853515625,37.33009501436203,-121.683121023873,617037.4697804669,4131971.434020561,779.3778686523438,37.32704221097586,-121.67897035558885,189.17423518087463,-15.68573803870957,True,True
2026-07-29T11:35:13.942486+00:00,228.6807331916188,13.242225211297662,228.6807331916188,13.248217582702637,500.0,117.5179443359375,616545.0,4134945.0,688.2649536132812,37.35390050779798,-121.6840600977576,616169.4789236144,4134614.872871169,805.7828979492188,37.35097264859813,-121.68835095668281,178.5911846125822,-16.56747550483923,False,True
2026-05-30T10:29:42.967120+00:00,224.05566163338966,12.245243020165528,224.05566163338966,12.251570701599121,500.0,108.375,616485.0,4135005.0,704.05322265625,37.35444873232998,-121.68472797475607,616137.321567053,4134645.6676924303,812.42822265625,37.35125418192995,-121.68870912527493,169.83998591101496,-21.676355766157492,False,True
2026-05-31T04:49:42.967120+00:00,138.76967720572327,12.05961800295742,138.76967720572327,12.066096305847168,500.0,106.6812744140625,615615.0,4135335.0,694.6898193359375,37.35753135071352,-121.69449759155052,615944.5437851761,4134958.966898197,801.37109375,37.35410159379309,-121.69083619722542,178.21121163021542,-15.105677864354764,True,True
2026-05-31T10:34:42.967120+00:00,214.45920291176733,15.842865644507246,214.45920291176733,15.836358070373535,500.0,141.62847900390625,613275.0,4131975.0,589.0878295898438,37.32754083390531,-121.72142787809983,612992.0903601596,4131562.735357221,730.71630859375,37.32386009178813,-121.72468324806727,180.83148452314632,-20.974536013792815,True,True
2026-05-31T11:24:42.967120+00:00,223.58562468055993,9.725298766022355,223.58562468055993,9.71838665008545,500.0,85.43170166015625,612195.0,4133625.0,627.4441528320312,37.3425412464912,-121.73336577437365,611850.2810851329,4133262.82756906,712.8758544921875,37.339319051604434,-121.73731129344065,181.21106227128715,-14.286166629031538,True,True
2026-06-30T04:31:11.691206+00:00,130.91910537054517,5.230877883588174,130.91910537054517,5.238069534301758,500.0,45.6385498046875,611625.0,4132665.0,633.6699829101562,37.3339587046483,-121.73994396408087,612002.8175513822,4132337.5035910616,679.3085327148438,37.33096190282883,-121.73572946159412,182.0902797108333,-10.518391659498523,False,False
2026-06-30T05:11:11.691206+00:00,137.59729327715368,10.780668124970735,137.59729327715368,10.78823184967041,500.0,95.07366943359375,614385.0,4134255.0,527.6425170898438,37.347951287646325,-121.70855003844991,614722.1686361834,4133885.7882575346,622.7161865234375,37.344582486067374,-121.70480132479274,182.39502548361068,-16.254120292148357,True,True
2026-06-01T05:14:42.967120+00:00,135.1128273454756,7.64677452608706,135.1128273454756,7.654408931732178,500.0,66.99755859375,616125.0,4131765.0,596.8734741210938,37.32529644778948,-121.68929946465249,616477.8564851416,4131410.7510749577,663.8710327148438,37.322059932870424,-121.68537335783911,189.3257983397313,-18.407044751743623,True,True
2026-06-30T11:36:11.691206+00:00,220.81350827710125,12.5306956474974,220.81350827710125,12.538387298583984,500.0,110.99884033203125,612045.0,4134975.0,525.5364379882812,37.354725152338794,-121.7348546826687,611718.2004710281,4134596.5795091917,636.5352783203125,37.35135434501879,-121.73860096100057,185.33045739052514,-12.559396159093229,True,False
2026-07-28T10:40:13.942486+00:00,225.17428490754983,11.429617533239599,225.17428490754983,11.437315940856934,500.0,100.95660400390625,612165.0,4133535.0,631.346923828125,37.341733818832054,-121.73371800639597,611810.3727919669,4133182.523698211,732.3035278320312,37.338600182836856,-121.73777383470933,167.0037046868202,-23.9681537414784,True,False
2026-05-31T11:34:42.967120+00:00,225.28408417862548,8.369054814839055,225.28408417862548,8.360663414001465,500.0,73.2828369140625,612495.0,4134645.0,531.9114990234375,37.35169685259638,-121.72982480512404,612139.6979724906,4134293.2039379873,605.1943359375,37.348569579803694,-121.7338888538376,181.28697289633047,-12.805742950928051,True,True
